"asv","Kingdom","Phylum","Class","Order","Family","Genus"
"asv006130","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"asv006131","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3",NA
"asv006132","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17",NA
"asv006133","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"asv006136","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA
"asv006137","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"asv006139","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"asv006140","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"asv006143","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
"asv006144","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinimonadaceae","Chitinimonas"
"asv006145","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum"
"asv006146","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"asv006147","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"asv006148","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"asv006149","Bacteria","Myxococcota","Polyangia","Polyangiales","Phaselicystidaceae","Phaselicystis"
"asv006150","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer"
"asv006151","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium"
"asv006152","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"asv006153","Bacteria","Proteobacteria","Gammaproteobacteria","EV818SWSAP88",NA,NA
"asv006154","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Sandaracinus"
"asv006155","Bacteria","Acidobacteriota","Acidobacteriae","Paludibaculum",NA,NA
"asv006157","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42"
"asv006165","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17",NA
"asv006167","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira"
"asv006169","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
"asv006173","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA
"asv006174","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira"
"asv006175","Bacteria","Gemmatimonadota","BD2-11 terrestrial group",NA,NA,NA
"asv006176","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira"
"asv006177","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae",NA
"asv006178","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium"
"asv006179","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"asv006180","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"asv006181","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus Captivus"
"asv006182","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a"
"asv006183","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter"
"asv006185","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"asv006188","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Azohydromonas"
"asv006190","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"asv006192","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"asv006194","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"asv006204","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"asv006205","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"asv006207","Bacteria","Abditibacteriota","Abditibacteria","Abditibacteriales","Abditibacteriaceae","Abditibacterium"
"asv006208","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84",NA
"asv006209","Bacteria","Chloroflexi","TK10",NA,NA,NA
"asv006211","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"asv006213","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA
"asv006216","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"asv006218","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"asv006219","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"asv006220","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20",NA,NA
"asv006221","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"asv006222","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
